StudyName,StudyId,DeviceId,SensorId,Time,Rate,Quality
will-left,0,0,4,2016-03-18 15:33:36.508,69,LOCKED
will-left,0,0,4,2016-03-18 15:33:37.481,69,LOCKED
will-left,0,0,4,2016-03-18 15:33:38.481,68,LOCKED
will-left,0,0,4,2016-03-18 15:33:39.480,67,LOCKED
will-left,0,0,4,2016-03-18 15:33:40.481,67,LOCKED
will-left,0,0,4,2016-03-18 15:33:41.466,67,LOCKED
will-left,0,0,4,2016-03-18 15:33:42.466,68,LOCKED
will-left,0,0,4,2016-03-18 15:33:43.482,68,LOCKED
will-left,0,0,4,2016-03-18 15:33:44.474,69,LOCKED
will-left,0,0,4,2016-03-18 15:33:45.456,69,LOCKED
will-left,0,0,4,2016-03-18 15:33:46.441,70,LOCKED
will-left,0,0,4,2016-03-18 15:33:47.459,70,LOCKED
will-left,0,0,4,2016-03-18 15:33:48.441,70,LOCKED
will-left,0,0,4,2016-03-18 15:33:49.455,71,LOCKED
will-left,0,0,4,2016-03-18 15:33:50.430,71,LOCKED
will-left,0,0,4,2016-03-18 15:33:51.429,71,LOCKED
will-left,0,0,4,2016-03-18 15:33:52.416,71,LOCKED
will-left,0,0,4,2016-03-18 15:33:53.430,70,LOCKED
will-left,0,0,4,2016-03-18 15:33:54.418,69,LOCKED
will-left,0,0,4,2016-03-18 15:33:55.417,69,LOCKED
will-left,0,0,4,2016-03-18 15:33:56.431,70,LOCKED
will-left,0,0,4,2016-03-18 15:33:57.404,71,LOCKED
will-left,0,0,4,2016-03-18 15:33:58.406,71,LOCKED
will-left,0,0,4,2016-03-18 15:33:59.398,71,LOCKED
will-left,0,0,4,2016-03-18 15:34:00.417,71,LOCKED
will-left,0,0,4,2016-03-18 15:34:01.391,71,LOCKED
will-left,0,0,4,2016-03-18 15:34:02.404,71,LOCKED
will-left,0,0,4,2016-03-18 15:34:03.386,70,LOCKED
will-left,0,0,4,2016-03-18 15:34:04.395,70,LOCKED
will-left,0,0,4,2016-03-18 15:34:05.381,69,LOCKED
will-left,0,0,4,2016-03-18 15:34:06.385,69,LOCKED
will-left,0,0,4,2016-03-18 15:34:07.371,69,LOCKED
will-left,0,0,4,2016-03-18 15:34:08.368,69,LOCKED
will-left,0,0,4,2016-03-18 15:34:09.381,69,LOCKED
will-left,0,0,4,2016-03-18 15:34:10.355,68,LOCKED
will-left,0,0,4,2016-03-18 15:34:11.348,67,LOCKED
will-left,0,0,4,2016-03-18 15:34:12.335,67,LOCKED
will-left,0,0,4,2016-03-18 15:34:13.356,65,LOCKED
will-left,0,0,4,2016-03-18 15:34:14.342,64,LOCKED
will-left,0,0,4,2016-03-18 15:34:15.342,62,LOCKED
will-left,0,0,4,2016-03-18 15:34:16.330,61,LOCKED
will-left,0,0,4,2016-03-18 15:34:17.321,61,LOCKED
will-left,0,0,4,2016-03-18 15:34:18.331,61,LOCKED
will-left,0,0,4,2016-03-18 15:34:19.316,61,LOCKED
will-left,0,0,4,2016-03-18 15:34:20.348,61,LOCKED
will-left,0,0,4,2016-03-18 15:34:21.316,61,LOCKED
will-left,0,0,4,2016-03-18 15:34:22.329,61,LOCKED
will-left,0,0,4,2016-03-18 15:34:23.324,60,LOCKED
will-left,0,0,4,2016-03-18 15:34:24.318,59,LOCKED
will-left,0,0,4,2016-03-18 15:34:25.294,58,LOCKED
will-left,0,0,4,2016-03-18 15:34:26.306,58,LOCKED
will-left,0,0,4,2016-03-18 15:34:27.291,58,LOCKED
will-left,0,0,4,2016-03-18 15:34:28.280,59,LOCKED
will-left,0,0,4,2016-03-18 15:34:29.280,60,LOCKED
will-left,0,0,4,2016-03-18 15:34:30.279,59,LOCKED
will-left,0,0,4,2016-03-18 15:34:31.280,59,LOCKED
will-left,0,0,4,2016-03-18 15:34:32.266,59,LOCKED
will-left,0,0,4,2016-03-18 15:34:33.280,58,LOCKED
will-left,0,0,4,2016-03-18 15:34:34.282,59,LOCKED
will-left,0,0,4,2016-03-18 15:34:35.281,59,LOCKED
will-left,0,0,4,2016-03-18 15:34:36.256,60,LOCKED
will-left,0,0,4,2016-03-18 15:34:37.241,59,LOCKED
will-left,0,0,4,2016-03-18 15:34:38.256,59,LOCKED
will-left,0,0,4,2016-03-18 15:34:39.241,59,LOCKED
will-left,0,0,4,2016-03-18 15:34:40.256,59,LOCKED
will-left,0,0,4,2016-03-18 15:34:41.230,59,LOCKED
will-left,0,0,4,2016-03-18 15:34:42.228,58,LOCKED
will-left,0,0,4,2016-03-18 15:34:43.247,59,LOCKED
will-left,0,0,4,2016-03-18 15:34:44.249,59,LOCKED
will-left,0,0,4,2016-03-18 15:34:45.233,58,LOCKED
will-left,0,0,4,2016-03-18 15:34:46.231,59,LOCKED
will-left,0,0,4,2016-03-18 15:34:47.220,59,LOCKED
will-left,0,0,4,2016-03-18 15:34:48.191,59,LOCKED
will-left,0,0,4,2016-03-18 15:34:49.204,59,LOCKED
will-left,0,0,4,2016-03-18 15:34:50.191,59,LOCKED
will-left,0,0,4,2016-03-18 15:34:51.218,65,LOCKED
will-left,0,0,4,2016-03-18 15:34:52.191,65,LOCKED
will-left,0,0,4,2016-03-18 15:34:53.186,65,LOCKED
will-left,0,0,4,2016-03-18 15:34:54.194,70,LOCKED
will-left,0,0,4,2016-03-18 15:34:55.180,71,LOCKED
will-left,0,0,4,2016-03-18 15:34:56.178,70,LOCKED
will-left,0,0,4,2016-03-18 15:34:57.186,70,LOCKED
will-left,0,0,4,2016-03-18 15:34:58.181,70,LOCKED
will-left,0,0,4,2016-03-18 15:34:59.190,69,LOCKED
will-left,0,0,4,2016-03-18 15:35:00.165,69,LOCKED
will-left,0,0,4,2016-03-18 15:35:01.172,69,LOCKED
will-left,0,0,4,2016-03-18 15:35:02.170,72,LOCKED
will-left,0,0,4,2016-03-18 15:35:03.156,72,LOCKED
will-left,0,0,4,2016-03-18 15:35:04.156,72,LOCKED
will-left,0,0,4,2016-03-18 15:35:05.141,72,LOCKED
will-left,0,0,4,2016-03-18 15:35:06.136,72,LOCKED
will-left,0,0,4,2016-03-18 15:35:07.131,75,LOCKED
will-left,0,0,4,2016-03-18 15:35:08.121,75,LOCKED
will-left,0,0,4,2016-03-18 15:35:09.149,74,LOCKED
will-left,0,0,4,2016-03-18 15:35:10.118,74,LOCKED
will-left,0,0,4,2016-03-18 15:35:11.121,71,LOCKED
will-left,0,0,4,2016-03-18 15:35:12.116,70,LOCKED
will-left,0,0,4,2016-03-18 15:35:13.137,71,LOCKED
